,Ensembl transcript ID,SL with MS evidence
628,ENST00000619204,c
629,ENST00000619204,c
630,ENST00000394308,c
631,ENST00000394308,c
632,ENST00000394308,c
633,ENST00000394309,c
634,ENST00000394309,c
635,ENST00000394309,c
636,ENST00000352886,c
637,ENST00000376618,c
638,ENST00000590665,m
639,ENST00000372621,c
640,ENST00000372621,c
641,ENST00000372621,c
642,ENST00000372621,c
643,ENST00000372621,c
644,ENST00000522368,c
645,ENST00000301729,c
646,ENST00000216465,c
647,ENST00000216465,c
648,ENST00000216465,c
649,ENST00000216465,c
650,ENST00000321612,m
651,ENST00000321612,c
652,ENST00000403892,m
653,ENST00000403892,c
654,ENST00000450296,m
655,ENST00000399688,c
656,ENST00000399688,c
657,ENST00000359426,c
658,ENST00000359426,m
659,ENST00000449699,m
660,ENST00000449699,c
661,ENST00000449699,m
662,ENST00000449699,c
663,ENST00000504139,c
664,ENST00000539480,c
665,ENST00000539480,c
666,ENST00000369620,c
667,ENST00000422285,m
668,ENST00000436817,c
669,ENST00000436817,m
670,ENST00000636879,m
671,ENST00000636879,m
672,ENST00000636879,m
673,ENST00000636879,m
674,ENST00000636879,m
675,ENST00000636879,c
676,ENST00000636879,c
677,ENST00000636879,c
678,ENST00000636879,c
679,ENST00000636879,c
680,ENST00000636879,m
681,ENST00000636879,c
682,ENST00000636879,m
683,ENST00000636879,c
684,ENST00000542943,m
685,ENST00000584848,c
686,ENST00000584848,c
687,ENST00000290349,c
688,ENST00000290349,c
689,ENST00000290349,c
690,ENST00000555773,c
691,ENST00000530272,c
692,ENST00000428460,c
693,ENST00000395240,c
694,ENST00000395240,m
695,ENST00000510361,m
696,ENST00000440410,m
697,ENST00000440410,c
698,ENST00000559250,c
699,ENST00000434505,m
700,ENST00000394115,m
701,ENST00000539907,c
702,ENST00000578590,c
703,ENST00000435675,c
704,ENST00000435675,c
705,ENST00000279230,c
706,ENST00000310454,m
707,ENST00000351829,c
708,ENST00000351829,c
709,ENST00000351829,c
710,ENST00000541113,c
711,ENST00000541113,m
712,ENST00000567087,c
713,ENST00000450723,m
714,ENST00000450723,m
715,ENST00000450723,m
716,ENST00000450723,m
717,ENST00000579855,c
718,ENST00000480134,c
719,ENST00000613168,m
720,ENST00000393960,m
721,ENST00000626419,c
722,ENST00000254035,m
723,ENST00000529546,c
724,ENST00000560266,c
725,ENST00000216780,c
726,ENST00000280346,c
727,ENST00000504811,c
728,ENST00000504811,c
729,ENST00000360289,c
730,ENST00000360289,m
731,ENST00000569545,c
732,ENST00000569545,m
733,ENST00000637206,m
734,ENST00000637206,m
735,ENST00000637206,m
736,ENST00000637206,m
737,ENST00000637206,m
738,ENST00000637206,c
739,ENST00000637206,c
740,ENST00000637206,c
741,ENST00000637206,c
742,ENST00000637206,c
743,ENST00000637206,m
744,ENST00000637206,c
745,ENST00000637206,m
746,ENST00000637206,c
747,ENST00000370132,m
748,ENST00000545314,c
749,ENST00000510191,c
750,ENST00000228740,c
751,ENST00000429182,c
752,ENST00000566846,c
753,ENST00000168216,m
754,ENST00000168216,c
755,ENST00000168216,m
756,ENST00000168216,c
757,ENST00000168216,m
758,ENST00000168216,m
759,ENST00000168216,c
760,ENST00000168216,c
761,ENST00000375499,m
762,ENST00000614428,c
763,ENST00000614428,c
764,ENST00000353855,c
765,ENST00000496166,c
766,ENST00000523942,c
767,ENST00000380851,m
768,ENST00000367885,c
769,ENST00000367885,c
770,ENST00000367885,c
771,ENST00000367884,c
772,ENST00000367884,c
773,ENST00000367884,c
774,ENST00000367883,c
775,ENST00000367883,c
776,ENST00000367883,c
777,ENST00000367889,c
778,ENST00000367889,c
779,ENST00000367889,c
780,ENST00000405233,c
781,ENST00000409934,m
782,ENST00000533817,c
783,ENST00000263702,m
784,ENST00000396222,c
785,ENST00000396222,c
786,ENST00000398595,c
787,ENST00000352035,c
788,ENST00000285930,c
789,ENST00000285930,c
790,ENST00000395575,c
791,ENST00000637272,m
792,ENST00000637272,m
793,ENST00000637272,m
794,ENST00000637272,m
795,ENST00000637272,m
796,ENST00000637272,c
797,ENST00000637272,c
798,ENST00000637272,c
799,ENST00000637272,c
800,ENST00000637272,c
801,ENST00000637272,m
802,ENST00000637272,c
803,ENST00000637272,m
804,ENST00000637272,c
805,ENST00000590958,n
806,ENST00000590958,n
807,ENST00000467908,n
808,ENST00000372418,c
809,ENST00000377842,c
810,ENST00000435638,c
811,ENST00000615152,c
812,ENST00000558096,c
813,ENST00000348286,c
814,ENST00000315251,c
815,ENST00000298510,m
816,ENST00000338702,c
817,ENST00000285093,c
818,ENST00000334398,m
819,ENST00000334398,m
820,ENST00000316694,c
821,ENST00000538132,c
822,ENST00000535434,c
823,ENST00000457269,c
824,ENST00000434484,c
825,ENST00000532303,c
826,ENST00000532303,c
827,ENST00000381125,c
828,ENST00000361521,c
829,ENST00000217426,c
830,ENST00000397736,c
831,ENST00000540430,c
832,ENST00000373316,c
833,ENST00000460189,c
834,ENST00000636714,c
835,ENST00000636714,c
836,ENST00000503130,c
837,ENST00000503130,c
838,ENST00000503130,c
839,ENST00000503130,c
840,ENST00000524698,c
841,ENST00000315758,m
842,ENST00000528192,c
843,ENST00000443588,c
844,ENST00000626814,m
845,ENST00000626814,c
846,ENST00000629371,c
847,ENST00000372435,c
848,ENST00000296255,c
849,ENST00000433297,c
850,ENST00000414700,c
851,ENST00000430553,c
852,ENST00000261783,m
853,ENST00000440274,m
854,ENST00000440274,c
855,ENST00000440274,m
